EntryID,Source,Year,Month,Day,Asking Price,Real Price,Street,No,Street2,No2,Size,Revenu,brut,net,Price,SalesPrice,yield,yields,Charges,CreditF,Credit,Annuite,CreditFonc,InitMiseAPrix,Comment,Type,"Date 
Completed"
286,Figaro,1881,6,9,0,0,Rue Clignancourt,55,,,,8995,1,,70000,,0.1285,,,0,,,0,,,,India
287,Figaro,1881,6,12,0,0,Rue Caumartin,26,,,410,14980,1,,220000,,0.068090909,,,0,,,0,,,,India
288,Figaro,1881,6,12,0,0,Rue Fremicourt,32,,,365.08,5670,1,,45000,,0.126,,,0,,,0,,,,India
289,Figaro,1881,6,13,0,0,Rue des Panoyaux,43,,,1850,13795,0,,140000,,0.098535714,,,0,,,0,,,,India
290,Figaro,1881,6,15,0,0,Boulevard Arago,53,,,,9925,1,,135000,,0.073518519,,,0,,,0,,,,India
291,Figaro,1881,6,15,0,0,Avenue Villemain,26,,,,2500,0,,25000,,0.1,,,0,,,0,,,,India
292,Figaro,1881,6,18,0,0,Rues Petitot,2,Des Fetes,12_14,433,7285,0,,65000,,0.112076923,,,0,,,0,,,,India
293,Figaro,1881,6,18,0,0,Rue Lepeu projetee,5,,,140,4970,0,,45000,,0.110444444,,,0,,,0,,,,India
294,Figaro,1881,6,22,0,0,Rue Herold,20,,,602.76,40860,0,,1000000,,0.04086,,,0,,,0,,,,India
295,Figaro,1881,6,23,0,0,Rue Nollet,36,,,,3500,0,,45000,,0.077777778,,,0,,,0,,,,India
296,Figaro,1881,6,23,0,0,Rue de Penthievre,11,,,,19400,0,,200000,,0.097,,,0,,,0,,,,India
297,Figaro,1881,6,23,0,0,Boulevard Voltaire,12,,,,17360,0,,280000,,0.062,,,0,,,0,,,,India
298,Figaro,1881,6,23,0,0,Boulevard Voltaire,165,Rue de Charonne,117,,10896,0,,170000,,0.064094118,,,0,,,0,,,,India
299,Figaro,1881,6,23,0,0,Place Voltaire,2,Rue de la Roquette,113,,20629,0,,340000,,0.060673529,,,0,,,0,,,,India
300,Figaro,1881,6,23,0,0,Place Voltaire,3,,,,9337,0,,150000,,0.062246667,,,0,,,0,,,,India
301,Figaro,1881,6,23,0,0,Boulevard Voltaire,265,,,,4979,0,,80000,,0.0622375,,,0,,,0,,,,India
302,Figaro,1881,6,23,0,0,Boulevard Voltaire,286,,,,4220,0,,70000,,0.060285714,,,0,,,0,,,,India
303,Figaro,1881,6,23,0,0,Place de la Nation,7,Avenue Philippe-Auguste,2,,11087,0,,160000,,0.06929375,,,0,,,0,,,,India
304,Figaro,1881,6,23,0,0,Rue de Rome,55,,,,30100,1,,420000,,0.071666667,,,0,,,0,,,,India
305,Figaro,1882,4,1,0,0,Rue de l'Universite,123,,,1250,24980,1,,325000,,0.076861538,,,0,,,0,,,,India
306,Figaro,1882,4,1,0,0,Rue St-Denis,175,,,,4000,0,,50000,,0.08,,,0,,,0,,,,India
307,Figaro,1882,4,1,0,0,Rue N.-D. Bonne-Nouvelle,7,,,,14724,0,,125000,,0.117792,,,0,,,0,,,,India
308,Figaro,1882,4,1,0,0,Rue de Laval,31,,,290,15600,0,,160000,,0.0975,,,0,,,0,,,,India
309,Figaro,1882,4,2,0,0,Rue des Archives,24,Rue de Beaune,5,956.65,29090,0,,500000,,0.05818,,,0,,,0,,,,India
310,Figaro,1882,4,2,0,0,Rue de Vauvilliers,43,,,,11000,1,,120000,,0.091666667,,,0,,,0,,,,India
311,Figaro,1882,4,2,0,0,Rue du Jour,13,,,,19400,1,,250000,,0.0776,,,0,,,0,,,,India
312,Figaro,1882,4,2,0,0,Rue des Minimes,14_14 bis,,,1495,40400,1,,500000,,0.0808,,,0,,,0,,,,India
313,Figaro,1882,4,2,0,0,Deux Gares,13,,,,15200,0,,120000,,0.126666667,,,0,,,0,,,,India
314,Figaro,1882,4,3,0,0,Rue de l'Abbe-Gregoire,,,,,11000,0,,120000,,0.091666667,,,0,,,0,,,,India
315,Figaro,1882,4,4,0,0,Boulevard de Courcelles,3_5,,,460,34020,1,,500000,,0.06804,,,0,,,0,,,,India
316,Figaro,1882,4,4,0,0,Rue d'Allemagne,121,,,,3000,0,,50000,,0.06,,,0,,,0,,,,India
317,Figaro,1882,4,5,0,0,Rue Ste Anne,39,,,,6000,0,,60000,,0.1,,,0,,,0,,,,India
318,Figaro,1882,4,5,0,0,Rue de Bercy,112,,,,7760,0,,80000,,0.097,,,0,,,0,,,,India
319,Figaro,1882,4,7,0,0,Rue de Charenton,74,,,393.07,8060,0,,80000,,0.10075,,,0,,,0,,,,India
320,Figaro,1882,4,7,0,0,Rue de la Reunion,46,,,,1215,1,,12000,,0.10125,,,0,,,0,,,,India
